source: United Nations, Population Division, Department of Economic and Social Affairs (2005) World Population Prospects: The 2004 Revision.																										
description: Total population by five-year age groups, major area, region and country, 1950-2050 (thousands)																										
																										
Estimates, 1950-2005																										
																										
Index	Variant	Major area, region, country or area*	Notes	Country code	Reference date (as of 1 July)	Total population by five-year age groups (thousands)																				
						0 - 4	5 - 9	10 - 14	15 - 19	20 - 24	25 - 29	30 - 34	35 - 39	40 - 44	45 - 49	50 - 54	55 - 59	60 - 64	65 - 69	70 - 74	75 - 79	80 - 84	85 - 89	90 - 94	95 - 99	100+
134	Estimates	Russian Federation		643	1950	10040,654	7404,651	12243,902	9911,185	11714,593	7326,393	5952,458	8134,329	7007,098	5823,587	4286,872	3416,889	3086,258	2421,912	1781,928	1183,114	966,638	-	-	-	-
134	Estimates	Russian Federation		643	1955	12636,752	10005,433	7398,446	12220,918	9851,465	11616,414	7257,741	5872,028	7976,624	6795,936	5571,072	4022,217	3108,48	2695,539	1982,14	1314,513	1075,782	-	-	-	-
134	Estimates	Russian Federation		643	1960	13462,433	12522,356	9937,392	7332,964	12085,257	9706,714	11438,741	7118,657	5723,213	7701,589	6462,659	5208,257	3651,109	2704,545	2197,674	1457,13	1195,011	-	-	-	-
134	Estimates	Russian Federation		643	1965	12124,98	13344,161	12434,071	9856,447	7237,965	11927,177	9549,954	11230,174	6950,253	5529,573	7349,453	6054,348	4757,644	3204,997	2222,478	1630,47	1344,957	-	-	-	-
134	Estimates	Russian Federation		643	1970	9362,591	12021,941	13253,94	12338,287	9744,425	7129,734	11753,99	9363,572	10967,713	6724,181	5273,696	6900,678	5531,322	4197,109	2653,16	1655,478	1519,987	-	-	-	-
134	Estimates	Russian Federation		643	1975	10102,461	9353,026	11824,666	12879,968	12157,342	9646,768	7086,269	11556,195	9087,538	10615,392	6612,576	5057,612	6369,305	4886,831	3428,375	1904,137	1664,044	-	-	-	-
134	Estimates	Russian Federation		643	1980	10676,382	10078,104	9263,446	11510,375	13022,2	12207,244	10044,501	6446,844	11313,35	8596,415	10236,256	6548,121	4557,702	5534,753	4126,25	2606,957	1890,693	-	-	-	-
134	Estimates	Russian Federation		643	1985	11640,253	10718,877	10118,611	9342,099	11681,805	13039,49	12125,472	9847,728	6302,915	10885,348	8178,765	9567,094	5972,347	3995,155	4550,564	3014,876	2347,505	-	-	-	-
134	Estimates	Russian Federation		643	1990	11550,634	11727,313	10788,408	10216,22	9553,965	11760,532	12991,181	12060,358	9683,197	6146,835	10452,992	7737,429	8815,725	5308,76	3327,175	3407,289	2841,82	-	-	-	-
134	Estimates	Russian Federation		643	1995	7908,641	11686,167	11855,674	10859,8	10270,301	9545,086	11720,488	12865,819	11832,093	9371,793	5815,819	9735,724	6973,368	7639,925	4369,579	2457,218	2111,54	883,024	251,16	28,836	7,144
134	Estimates	Russian Federation		643	2000	6594,843	8093,131	12015,536	12363,438	11074,626	10374,659	9604,576	11590,571	12515,154	11257,159	8872,537	5317,083	8805,993	5920,29	6065,899	3159,717	1518,796	1038,194	314,468	58,719	4,678
134	Estimates	Russian Federation		643	2005	7225,426	6579,349	8081,295	12003,863	12299,27	10936,772	10191,686	9383,4	11231,119	11982,732	10614,142	8197,766	4758,104	7502,696	4699,975	4348,488	1962,095	749,451	371,701	74,043	8,199
