source: United Nations, Population Division, Department of Economic and Social Affairs (2005) World Population Prospects: The 2004 Revision.																										
description: Female population by five-year age groups, major area, region and country, 1950-2050 (thousands)																										
																										
Estimates, 1950-2005																										
																										
Index	Variant	Major area, region, country or area*	Notes	Country code	Reference date (as of 1 July)	Female population by five-year age groups (thousands)																				
						0 - 4	5 - 9	10 - 14	15 - 19	20 - 24	25 - 29	30 - 34	35 - 39	40 - 44	45 - 49	50 - 54	55 - 59	60 - 64	65 - 69	70 - 74	75 - 79	80 - 84	85 - 89	90 - 94	95 - 99	100+
134	Estimates	Russian Federation		643	1950	4859,337	3662,401	6087,098	4930,832	6155,809	4437,421	3595,678	5040,115	4377,162	3861,277	2819,764	2190,918	2027,641	1657,632	1272,309	884,402	764,58	-	-	-	-
134	Estimates	Russian Federation		643	1955	6150,048	4844,411	3661,728	6082,238	4917,406	6137,184	4419,104	3570,285	4981,825	4291,362	3744,496	2692,846	2042,969	1824,183	1399,375	972,472	843,634	-	-	-	-
134	Estimates	Russian Federation		643	1960	6606,196	6097,428	4814,778	3633,443	6034,643	4871,873	6080,159	4362,507	3507,473	4861,193	4140,913	3560,077	2500,318	1830,845	1535,487	1067,145	929,298	-	-	-	-
134	Estimates	Russian Federation		643	1965	5941,761	6552,35	6058,045	4780,421	3598,103	5987,115	4821,98	6011,291	4292,71	3424,877	4706,695	3951,65	3325,076	2257,144	1555,245	1184,616	1039,163	-	-	-	-
134	Estimates	Russian Federation		643	1970	4595,19	5897,186	6513,54	6019,188	4743,403	3564,606	5938,957	4765,944	5928,384	4201,591	3318,971	4507,697	3704,573	3017,98	1930,077	1206,835	1169,816	-	-	-	-
134	Estimates	Russian Federation		643	1975	4970,316	4606,588	5791,839	6340,278	5993,316	4750,921	3574,452	5906,921	4696,633	5805,314	4233,841	3263,569	4245,614	3401,264	2550,09	1442,745	1296,791	-	-	-	-
134	Estimates	Russian Federation		643	1980	5249,267	4959,991	4559,99	5650,225	6348,795	6030,117	4997,005	3287,864	5867,023	4524,52	5661,975	4256,035	3031,77	3825,091	2988,873	2020,62	1505,898	-	-	-	-
134	Estimates	Russian Federation		643	1985	5715,188	5275,868	4970,975	4580,453	5753,22	6416,915	6041,265	4953,429	3255,867	5739,833	4416,563	5468,16	3999,78	2761,035	3287,128	2287,041	1908,999	-	-	-	-
134	Estimates	Russian Federation		643	1990	5655,824	5768,352	5315,134	5020,362	4659,096	5786,721	6448,55	6048,171	4914,722	3218,364	5609,985	4293,936	5224,583	3672,21	2391,304	2572,338	2290,067	-	-	-	-
134	Estimates	Russian Federation		643	1995	3849,935	5719,787	5831,317	5350,676	5000,839	4658,437	5818,42	6466,93	6030,509	4859,305	3140,454	5426,962	4055,308	4772,655	3156,46	1846,237	1662,678	721,24	210,258	22,951	5,241
134	Estimates	Russian Federation		643	2000	3217,366	3954,487	5894,063	6086,905	5496,688	5157,431	4812,443	5884,613	6449,787	5927,101	4777,644	3013,102	5184,304	3651,049	4020,962	2395,185	1191,524	843,078	260,296	48,713	3,443
134	Estimates	Russian Federation		643	2005	3516,752	3212,522	3951,828	5901,66	6095,06	5488,43	5133,842	4775,562	5812,684	6329,395	5766,926	4592,2	2828,547	4671,97	3082,444	3060,767	1552,632	607,356	306,417	60,79	6,415
