source: United Nations, Population Division, Department of Economic and Social Affairs (2005) World Population Prospects: The 2004 Revision.																										
description: Male population by five-year age groups, major area, region and country, 1950-2050 (thousands)																										
																										
Estimates, 1950-2005																										
																										
Index	Variant	Major area, region, country or area*	Notes	Country code	Reference date (as of 1 July)	Male population by five-year age groups (thousands)																				
						0 - 4	5 - 9	10 - 14	15 - 19	20 - 24	25 - 29	30 - 34	35 - 39	40 - 44	45 - 49	50 - 54	55 - 59	60 - 64	65 - 69	70 - 74	75 - 79	80 - 84	85 - 89	90 - 94	95 - 99	100+
134	Estimates	Russian Federation		643	1950	5181,317	3742,25	6156,804	4980,353	5558,784	2888,972	2356,78	3094,214	2629,936	1962,31	1467,108	1225,971	1058,617	764,28	509,619	298,712	202,058	-	-	-	-
134	Estimates	Russian Federation		643	1955	6486,704	5161,022	3736,718	6138,68	4934,059	5479,23	2838,637	2301,743	2994,799	2504,574	1826,576	1329,371	1065,511	871,356	582,765	342,041	232,148	-	-	-	-
134	Estimates	Russian Federation		643	1960	6856,237	6424,928	5122,614	3699,521	6050,614	4834,841	5358,582	2756,15	2215,74	2840,396	2321,746	1648,18	1150,791	873,7	662,187	389,985	265,713	-	-	-	-
134	Estimates	Russian Federation		643	1965	6183,219	6791,811	6376,026	5076,026	3639,862	5940,062	4727,974	5218,883	2657,543	2104,696	2642,758	2102,698	1432,568	947,853	667,233	445,854	305,794	-	-	-	-
134	Estimates	Russian Federation		643	1970	4767,401	6124,755	6740,4	6319,099	5001,022	3565,128	5815,033	4597,628	5039,329	2522,59	1954,725	2392,981	1826,749	1179,129	723,083	448,643	350,171	-	-	-	-
134	Estimates	Russian Federation		643	1975	5132,145	4746,438	6032,827	6539,69	6164,026	4895,847	3511,817	5649,274	4390,905	4810,078	2378,735	1794,043	2123,691	1485,567	878,285	461,392	367,253	-	-	-	-
134	Estimates	Russian Federation		643	1980	5427,115	5118,113	4703,456	5860,15	6673,405	6177,127	5047,496	3158,98	5446,327	4071,895	4574,281	2292,086	1525,932	1709,662	1137,377	586,337	384,795	-	-	-	-
134	Estimates	Russian Federation		643	1985	5925,065	5443,009	5147,636	4761,646	5928,585	6622,575	6084,207	4894,299	3047,048	5145,515	3762,202	4098,934	1972,567	1234,12	1263,436	727,835	438,506	-	-	-	-
134	Estimates	Russian Federation		643	1990	5894,81	5958,961	5473,274	5195,858	4894,869	5973,811	6542,631	6012,187	4768,475	2928,471	4843,007	3443,493	3591,142	1636,55	935,871	834,951	551,753	-	-	-	-
134	Estimates	Russian Federation		643	1995	4058,706	5966,38	6024,357	5509,124	5269,462	4886,649	5902,068	6398,889	5801,584	4512,488	2675,365	4308,762	2918,06	2867,27	1213,119	610,981	448,862	161,784	40,902	5,885	1,903
134	Estimates	Russian Federation		643	2000	3377,477	4138,644	6121,473	6276,533	5577,938	5217,228	4792,133	5705,958	6065,367	5330,058	4094,893	2303,981	3621,689	2269,241	2044,937	764,532	327,272	195,116	54,172	10,006	1,235
134	Estimates	Russian Federation		643	2005	3708,674	3366,827	4129,467	6102,203	6204,21	5448,342	5057,844	4607,838	5418,435	5653,337	4847,216	3605,566	1929,557	2830,726	1617,531	1287,721	409,463	142,095	65,284	13,253	1,784
